iter	Passed	Remaining
0	50	10050
1	115	11444
2	165	10884
3	216	10626
4	268	10464
5	319	10335
6	370	10228
7	429	10301
8	482	10242
9	534	10160
10	584	10038
11	635	9952
12	689	9912
13	741	9845
14	794	9793
15	846	9735
16	895	9637
17	945	9555
18	997	9498
19	1044	9401
20	1127	9607
21	1183	9578
22	1233	9494
23	1286	9435
24	1337	9364
25	1387	9287
26	1450	9294
27	1519	9335
28	1571	9268
29	1627	9223
30	1683	9175
31	1768	9282
32	1824	9231
33	1878	9172
34	1938	9139
35	2002	9122
36	2056	9061
37	2112	9006
38	2167	8948
39	2222	8891
40	2276	8827
41	2330	8768
42	2390	8726
43	2445	8670
44	2502	8620
45	2556	8557
46	2616	8518
47	2678	8480
48	2734	8428
49	2792	8378
50	2849	8325
51	2906	8270
52	2960	8210
53	3016	8154
54	3072	8100
55	3131	8051
56	3169	7951
57	3224	7895
58	3277	7833
59	3349	7814
60	3405	7759
61	3466	7716
62	3522	7660
63	3576	7599
64	3635	7551
65	3691	7494
66	3748	7441
67	3803	7383
68	3860	7328
69	3916	7273
70	3971	7216
71	4024	7154
72	4079	7097
73	4133	7037
74	4186	6976
75	4260	6951
76	4321	6902
77	4379	6850
78	4438	6797
79	4494	6741
80	4550	6684
81	4608	6631
82	4664	6575
83	4731	6534
84	4784	6473
85	4845	6422
86	4911	6379
87	4972	6328
88	5041	6287
89	5098	6231
90	5151	6170
91	5206	6112
92	5261	6053
93	5313	5992
94	5368	5933
95	5425	5877
96	5497	5837
97	5559	5786
98	5611	5725
99	5664	5664
100	5716	5603
101	5769	5543
102	5821	5482
103	5873	5422
104	5927	5362
105	5984	5307
106	6050	5258
107	6106	5201
108	6158	5141
109	6214	5084
110	6267	5025
111	6319	4964
112	6371	4905
113	6436	4855
114	6485	4793
115	6538	4735
116	6593	4677
117	6648	4620
118	6700	4560
119	6755	4503
120	6817	4451
121	6887	4403
122	6952	4352
123	7002	4292
124	7055	4233
125	7119	4181
126	7168	4120
127	7219	4060
128	7266	3999
129	7317	3940
130	7367	3880
131	7418	3821
132	7470	3763
133	7525	3706
134	7575	3647
135	7637	3594
136	7688	3535
137	7740	3477
138	7793	3420
139	7842	3361
140	7892	3302
141	7944	3244
142	7996	3187
143	8045	3128
144	8097	3071
145	8143	3012
146	8197	2955
147	8247	2897
148	8300	2841
149	8351	2783
150	8403	2726
151	8471	2675
152	8524	2618
153	8575	2561
154	8628	2504
155	8682	2448
156	8737	2393
157	8791	2336
158	8841	2280
159	8899	2224
160	8948	2167
161	9000	2111
162	9052	2054
163	9112	2000
164	9165	1944
165	9216	1887
166	9268	1831
167	9318	1774
168	9373	1719
169	9429	1664
170	9482	1608
171	9554	1555
172	9605	1499
173	9656	1442
174	9708	1386
175	9759	1330
176	9810	1274
177	9863	1219
178	9915	1163
179	9966	1107
180	10020	1051
181	10070	995
182	10127	940
183	10176	884
184	10231	829
185	10282	773
186	10334	718
187	10387	663
188	10443	607
189	10495	552
190	10546	496
191	10599	441
192	10651	386
193	10703	331
194	10755	275
195	10807	220
196	10859	165
197	10912	110
198	10964	55
199	11017	0
