iter	AUC	Logloss
0	0.7253293898	0.6483557497
1	0.7565524036	0.6154440152
2	0.7896392783	0.5872247119
3	0.7908537977	0.5632716419
4	0.7964148175	0.5465307448
5	0.7989727957	0.5324548834
6	0.8042873631	0.51988983
7	0.8128429712	0.5056211563
8	0.8163944697	0.495204147
9	0.8258390904	0.4813331129
10	0.8300424385	0.4703572549
11	0.8327263833	0.462588557
12	0.8339970117	0.4566673288
13	0.8349855157	0.4523178102
14	0.8364946076	0.4468853369
15	0.8370229059	0.4435206044
16	0.8380212568	0.4403899281
17	0.8389928537	0.437269666
18	0.8394263983	0.4351932193
19	0.8400099696	0.4333767475
20	0.8404664594	0.4317644627
21	0.8412610899	0.4298780921
22	0.8421932061	0.4284016427
23	0.8427011602	0.4270142264
24	0.8432000106	0.4258148586
25	0.8434642061	0.4247520747
26	0.8438396909	0.4237053854
27	0.8441703998	0.4227645324
28	0.8445883379	0.4217040925
29	0.844742452	0.4210113721
30	0.8454455802	0.4195115448
31	0.8458100103	0.4184270203
32	0.8458725292	0.4180645883
33	0.8461595771	0.4175535525
34	0.8463032869	0.4170979265
35	0.8463068169	0.4169848534
36	0.8467072906	0.4164701537
37	0.8468969838	0.41586206
38	0.8468671642	0.4156478629
39	0.8472931843	0.4150221056
40	0.8476172047	0.4143001375
41	0.8476875268	0.4141492402
42	0.847954788	0.4138774562
43	0.8482449015	0.4135375426
44	0.8483004532	0.4132701707
45	0.8482577211	0.4130314429
46	0.8485039878	0.4126480901
47	0.8486200147	0.4125017775
48	0.8486770527	0.4123244793
49	0.8490094338	0.4119056044
50	0.8492613671	0.4115450472
51	0.849399596	0.4113430242
52	0.8495162731	0.4111258562
53	0.8495156228	0.4110225076
54	0.8496380595	0.4107918493
55	0.8498444739	0.4103107433
56	0.8499818667	0.4100186339
57	0.849973599	0.4099780705
58	0.8500991941	0.4096811981
59	0.8501962702	0.4096245128
60	0.8503404444	0.4094049497
61	0.8503826191	0.4093029893
62	0.850465668	0.4090784011
63	0.850570826	0.4089547837
64	0.8506386399	0.4088154208
65	0.8506744977	0.4087526099
66	0.8508409669	0.4085193162
67	0.8509169556	0.4084535901
68	0.8509244802	0.4083730719
69	0.8510834249	0.4081949508
70	0.8512222112	0.4080650189
71	0.8512630853	0.4079735017
72	0.8514364288	0.4077435379
73	0.8515553354	0.4076040194
74	0.8516342968	0.4074020659
75	0.8517405696	0.4072372802
76	0.8518323506	0.4070189981
77	0.8519072246	0.4069542093
78	0.8520029073	0.4068524274
79	0.8520926446	0.4067601986
80	0.8521201417	0.4066891809
81	0.852159158	0.4066322041
82	0.852277693	0.4064968262
83	0.8524049602	0.4063457514
84	0.8525264679	0.4061564355
85	0.8526071014	0.4060651836
86	0.8527221064	0.4059339602
87	0.8529051111	0.4057823571
88	0.8529495152	0.4057362238
89	0.8530451979	0.405637145
90	0.8530777114	0.4056035358
91	0.853090531	0.4055890284
92	0.853132427	0.4055162156
93	0.8531415308	0.405505874
94	0.8531779459	0.4054328979
95	0.8532194704	0.4053370204
96	0.8533497102	0.4051820017
97	0.853407863	0.4050869753
98	0.8535282559	0.4049072234
99	0.853738572	0.4046134097
100	0.8538140033	0.4045370736
101	0.8538591507	0.4044884994
102	0.8539503743	0.4043241691
103	0.85408433	0.40420737
104	0.854082565	0.4041869953
105	0.8542372365	0.4039860333
106	0.8543119247	0.4039105852
107	0.8543591158	0.4038273894
108	0.8543979462	0.4037769692
109	0.8544501536	0.4037289793
110	0.8544714267	0.4037029948
111	0.8544896343	0.403556766
112	0.8545039403	0.4035401874
113	0.8547458409	0.4032001012
114	0.8547748244	0.4031624299
115	0.8547997204	0.4031376594
116	0.8548378077	0.4030949458
117	0.8549468673	0.4029983018
118	0.854941851	0.4029951292
119	0.8549645175	0.4029612269
120	0.8550105938	0.4029024541
121	0.8550115228	0.402899356
122	0.8550252714	0.4028601507
123	0.8551168666	0.4027595579
124	0.8551190961	0.4027570664
125	0.8551265278	0.4027493418
126	0.8551313583	0.4027411722
127	0.8551299649	0.4027352801
128	0.8553322919	0.4024703751
129	0.8553360077	0.4024657448
130	0.8553813409	0.402425906
131	0.8554162697	0.4023791104
132	0.8554217505	0.4023682484
133	0.855430297	0.4023578427
