iter	Passed	Remaining
0	4	1183
1	7	1111
2	11	1119
3	17	1256
4	22	1283
5	28	1331
6	32	1309
7	41	1472
8	44	1393
9	49	1395
10	54	1391
11	58	1352
12	61	1308
13	64	1274
14	66	1226
15	69	1189
16	72	1157
17	75	1134
18	77	1100
19	79	1071
20	81	1047
21	84	1024
22	86	1001
23	89	988
24	91	969
25	94	959
26	97	946
27	100	936
28	102	920
29	104	908
30	107	894
31	109	886
32	112	873
33	114	862
34	116	850
35	119	840
36	121	830
37	124	826
38	126	816
39	129	808
40	131	799
41	133	788
42	135	780
43	138	773
44	140	765
45	142	756
46	144	748
47	147	741
48	149	735
49	151	729
50	154	722
51	157	719
52	159	712
53	161	706
54	163	699
55	166	695
56	168	689
57	171	684
58	173	679
59	176	676
60	178	671
61	181	666
62	183	660
63	186	657
64	188	652
65	190	647
66	192	641
67	195	637
68	197	634
69	200	629
70	203	626
71	205	622
72	208	618
73	210	614
74	213	612
75	215	607
76	218	605
77	221	603
78	224	600
79	227	597
80	229	592
81	232	589
82	235	586
83	237	582
84	240	579
85	242	574
86	244	570
87	246	566
88	250	566
89	252	562
90	255	558
91	258	557
92	261	553
93	263	549
94	266	547
95	269	544
96	271	539
97	274	537
98	276	534
99	279	530
100	281	526
101	284	523
102	286	520
103	288	516
104	291	513
105	294	510
106	296	506
107	299	503
108	301	501
109	304	498
110	307	495
111	309	491
112	311	488
113	314	485
114	316	481
115	319	478
116	322	476
117	324	473
118	326	469
119	329	466
120	331	462
121	333	459
122	336	456
123	338	453
124	340	449
125	343	447
126	345	444
127	348	440
128	350	437
129	353	435
130	356	433
131	359	429
132	361	427
133	364	424
134	366	421
135	370	419
136	372	416
137	375	413
138	377	409
139	379	406
140	381	403
141	384	400
142	386	396
143	389	394
144	391	391
145	394	388
146	396	386
147	399	383
148	402	380
149	405	378
150	408	376
151	411	373
152	413	370
153	416	368
154	419	365
155	422	362
156	424	359
157	427	356
158	429	353
159	432	351
160	435	348
161	437	345
162	439	342
163	442	339
164	444	336
165	447	334
166	449	331
167	452	328
168	455	325
169	457	323
170	460	320
171	463	317
172	465	314
173	467	311
174	470	309
175	472	306
176	474	303
177	477	300
178	479	297
179	482	294
180	485	292
181	487	289
182	490	286
183	492	283
184	495	281
185	498	278
186	500	275
187	503	273
188	505	270
189	508	267
190	511	264
191	513	262
192	516	259
193	518	256
194	520	253
195	522	250
196	525	248
197	528	245
198	530	242
199	532	239
200	535	237
201	537	234
202	539	231
203	542	228
204	544	225
205	547	223
206	550	220
207	553	218
208	555	215
209	558	212
210	561	210
211	563	207
212	566	204
213	569	202
214	572	199
215	574	196
216	577	194
217	580	191
218	583	189
219	585	186
220	588	183
221	591	181
222	593	178
223	596	175
224	598	173
225	601	170
226	604	167
227	606	164
228	608	162
229	611	159
230	613	156
231	616	154
232	618	151
233	621	148
234	623	145
235	626	143
236	629	140
237	631	138
238	634	135
239	636	132
240	638	129
241	641	127
242	643	124
243	646	121
244	649	119
245	652	116
246	655	114
247	657	111
248	659	108
249	662	105
250	664	103
251	667	100
252	670	98
253	672	95
254	676	92
255	678	90
256	681	87
257	684	84
258	687	82
259	689	79
260	692	76
261	694	74
262	697	71
263	700	68
264	702	66
265	705	63
266	707	60
267	710	58
268	713	55
269	715	52
270	717	50
271	720	47
272	723	45
273	726	42
274	728	39
275	731	37
276	734	34
277	736	31
278	740	29
279	742	26
280	745	23
281	748	21
282	750	18
283	752	15
284	754	13
285	757	10
286	760	7
287	762	5
288	764	2
289	767	0
